text,label
Verify your Paytm credit card points before they expire tonight! https://bit.ly/1330,1
Earn ₹9676 daily by liking YouTube videos. No experience needed! https://bit.ly/3168,1
Your SBI account is blocked. Update Aadhar now to avoid suspension: https://bit.ly/2109,1
Your Kotak account is blocked. Update Verification now to avoid suspension: https://bit.ly/1939,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/6013,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/9761,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/8868,1
Verify your HDFC credit card points before they expire tonight! https://bit.ly/9534,1
Verify your HDFC credit card points before they expire tonight! https://bit.ly/4601,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/9386,1
"Hi Mom, I lost my phone. Need ₹3446 for an emergency. Send to UPI: 9876543210",1
Your HDFC account is blocked. Update PAN now to avoid suspension: https://bit.ly/4517,1
Earn ₹2670 daily by liking YouTube videos. No experience needed! https://bit.ly/4899,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/9871,1
Your ICICI account is blocked. Update Aadhar now to avoid suspension: https://bit.ly/8700,1
Earn ₹9222 daily by liking YouTube videos. No experience needed! https://bit.ly/3394,1
Earn ₹2037 daily by liking YouTube videos. No experience needed! https://bit.ly/1897,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/2046",1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/8127,1
Your SBI account is blocked. Update PAN now to avoid suspension: https://bit.ly/3257,1
"Hi Mom, I lost my phone. Need ₹3448 for an emergency. Send to UPI: 9876543210",1
"Hi Mom, I lost my phone. Need ₹3935 for an emergency. Send to UPI: 9876543210",1
Earn ₹7689 daily by liking YouTube videos. No experience needed! https://bit.ly/7068,1
"Hi Mom, I lost my phone. Need ₹3014 for an emergency. Send to UPI: 9876543210",1
Verify your SBI credit card points before they expire tonight! https://bit.ly/2385,1
Earn ₹4305 daily by liking YouTube videos. No experience needed! https://bit.ly/1341,1
Your Kotak account is blocked. Update KYC now to avoid suspension: https://bit.ly/1322,1
Verify your ICICI credit card points before they expire tonight! https://bit.ly/6713,1
Verify your Kotak credit card points before they expire tonight! https://bit.ly/4291,1
Earn ₹4347 daily by liking YouTube videos. No experience needed! https://bit.ly/7530,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
"Hi Mom, I lost my phone. Need ₹4218 for an emergency. Send to UPI: 9876543210",1
"Hi Mom, I lost my phone. Need ₹5325 for an emergency. Send to UPI: 9876543210",1
Verify your Kotak credit card points before they expire tonight! https://bit.ly/7743,1
Verify your Axis credit card points before they expire tonight! https://bit.ly/2980,1
Earn ₹6717 daily by liking YouTube videos. No experience needed! https://bit.ly/6591,1
Your SBI account is blocked. Update KYC now to avoid suspension: https://bit.ly/7495,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/1175",1
Earn ₹4315 daily by liking YouTube videos. No experience needed! https://bit.ly/1643,1
Earn ₹8442 daily by liking YouTube videos. No experience needed! https://bit.ly/8739,1
"Hi Mom, I lost my phone. Need ₹6714 for an emergency. Send to UPI: 9876543210",1
Your SBI account is blocked. Update Verification now to avoid suspension: https://bit.ly/3386,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/8415,1
"Hi Mom, I lost my phone. Need ₹4270 for an emergency. Send to UPI: 9876543210",1
"Hi Mom, I lost my phone. Need ₹7505 for an emergency. Send to UPI: 9876543210",1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/6541,1
Your HDFC account is blocked. Update KYC now to avoid suspension: https://bit.ly/5318,1
Your ICICI account is blocked. Update KYC now to avoid suspension: https://bit.ly/3448,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/7702",1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/7714",1
Earn ₹3992 daily by liking YouTube videos. No experience needed! https://bit.ly/2597,1
Earn ₹8972 daily by liking YouTube videos. No experience needed! https://bit.ly/8030,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/3573,1
Your ICICI account is blocked. Update Aadhar now to avoid suspension: https://bit.ly/6895,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
"Hi Mom, I lost my phone. Need ₹3835 for an emergency. Send to UPI: 9876543210",1
Your Paytm account is blocked. Update Verification now to avoid suspension: https://bit.ly/6018,1
Your ICICI account is blocked. Update Aadhar now to avoid suspension: https://bit.ly/5980,1
Your Paytm account is blocked. Update PAN now to avoid suspension: https://bit.ly/9603,1
Verify your Axis credit card points before they expire tonight! https://bit.ly/9920,1
Verify your Paytm credit card points before they expire tonight! https://bit.ly/7323,1
"Hi Mom, I lost my phone. Need ₹9954 for an emergency. Send to UPI: 9876543210",1
Earn ₹8385 daily by liking YouTube videos. No experience needed! https://bit.ly/6646,1
"Hi Mom, I lost my phone. Need ₹6315 for an emergency. Send to UPI: 9876543210",1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/9011",1
Earn ₹8859 daily by liking YouTube videos. No experience needed! https://bit.ly/4863,1
Your ICICI account is blocked. Update Verification now to avoid suspension: https://bit.ly/9555,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Verify your ICICI credit card points before they expire tonight! https://bit.ly/2973,1
Verify your Paytm credit card points before they expire tonight! https://bit.ly/8689,1
Verify your Axis credit card points before they expire tonight! https://bit.ly/6324,1
Your Paytm account is blocked. Update Aadhar now to avoid suspension: https://bit.ly/4863,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/7547",1
"Hi Mom, I lost my phone. Need ₹2918 for an emergency. Send to UPI: 9876543210",1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Your HDFC account is blocked. Update KYC now to avoid suspension: https://bit.ly/2554,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/1245,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/3494",1
Your Axis account is blocked. Update Verification now to avoid suspension: https://bit.ly/2022,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/6268,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/2409,1
Earn ₹5686 daily by liking YouTube videos. No experience needed! https://bit.ly/2461,1
Earn ₹7961 daily by liking YouTube videos. No experience needed! https://bit.ly/8557,1
Earn ₹5964 daily by liking YouTube videos. No experience needed! https://bit.ly/3305,1
Earn ₹9013 daily by liking YouTube videos. No experience needed! https://bit.ly/4788,1
Verify your HDFC credit card points before they expire tonight! https://bit.ly/5844,1
"Hi Mom, I lost my phone. Need ₹3820 for an emergency. Send to UPI: 9876543210",1
"Hi Mom, I lost my phone. Need ₹9424 for an emergency. Send to UPI: 9876543210",1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/3991,1
Earn ₹4728 daily by liking YouTube videos. No experience needed! https://bit.ly/2103,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/1396,1
"Selected for Amazon Part-time job. Earn ₹15,000/week. Join here: https://bit.ly/8605",1
Earn ₹2616 daily by liking YouTube videos. No experience needed! https://bit.ly/2350,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Earn ₹5851 daily by liking YouTube videos. No experience needed! https://bit.ly/8250,1
WINNER! You won a ₹25 Lakhs lottery in KBC. WhatsApp your details to claim.,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/1473,1
Verify your Paytm credit card points before they expire tonight! https://bit.ly/2840,1
Earn ₹9540 daily by liking YouTube videos. No experience needed! https://bit.ly/4684,1
Electricity bill overdue. Power will be cut at 9 PM tonight. Pay via: https://bit.ly/8485,1
